to_read,group
luis,Nivel 2
cuanto,Nivel 2
tierra,Nivel 2
equipo,Nivel 2
segundo,Nivel 2
director,Nivel 2
dicho,Nivel 2
cierto,Nivel 2
casos,Nivel 2
manos,Nivel 2
nivel,Nivel 2
podía,Nivel 2
familia,Nivel 2
largo,Nivel 2
partir,Nivel 2
falta,Nivel 2
llegar,Nivel 2
propio,Nivel 2
ministro,Nivel 2
cosa,Nivel 2
primero,Nivel 2
seguridad,Nivel 2
hemos,Nivel 2
mal,Nivel 2
trata,Nivel 2
algún,Nivel 2
tuvo,Nivel 2
respecto,Nivel 2
semana,Nivel 2
varios,Nivel 2
real,Nivel 2
sé,Nivel 2
voz,Nivel 2
paso,Nivel 2
señor,Nivel 2
mil,Nivel 2
quienes,Nivel 2
proyecto,Nivel 2
mercado,Nivel 2
mayoría,Nivel 2
luz,Nivel 2
claro,Nivel 2
iba,Nivel 2
éste,Nivel 2
pesetas,Nivel 2
orden,Nivel 2
español,Nivel 2
buena,Nivel 2
quiere,Nivel 2
aquella,Nivel 2
programa,Nivel 2
palabras,Nivel 2
internacional,Nivel 2
van,Nivel 2
esas,Nivel 2
segunda,Nivel 2
empresa,Nivel 2
puesto,Nivel 2
ahí,Nivel 2
propia,Nivel 2
libro,Nivel 2
igual,Nivel 2
político,Nivel 2
persona,Nivel 2
últimos,Nivel 2
ellas,Nivel 2
total,Nivel 2
creo,Nivel 2
tengo,Nivel 2
dios,Nivel 2
española,Nivel 2
condiciones,Nivel 2
méxico,Nivel 2
fuerza,Nivel 2
solo,Nivel 2
único,Nivel 2
acción,Nivel 2
amor,Nivel 2
policía,Nivel 2
puerta,Nivel 2
pesar,Nivel 2
zona,Nivel 2
sabe,Nivel 2
calle,Nivel 2
interior,Nivel 2
tampoco,Nivel 2
música,Nivel 2
ningún,Nivel 2
vista,Nivel 2
campo,Nivel 2
buen,Nivel 2
hubiera,Nivel 2
saber,Nivel 2
obras,Nivel 2
razón,Nivel 2
ex,Nivel 2
niños,Nivel 2
presencia,Nivel 2
tema,Nivel 2
dinero,Nivel 2
comisión,Nivel 2
antonio,Nivel 2
servicio,Nivel 2
hijo,Nivel 2
última,Nivel 2
ciento,Nivel 2
estoy,Nivel 2
hablar,Nivel 2
dio,Nivel 2
minutos,Nivel 2
producción,Nivel 2
camino,Nivel 2
seis,Nivel 2
quién,Nivel 2
fondo,Nivel 2
dirección,Nivel 2
papel,Nivel 2
demás,Nivel 2
barcelona,Nivel 2
idea,Nivel 2
especial,Nivel 2
diferentes,Nivel 2
dado,Nivel 2
base,Nivel 2
capital,Nivel 2
ambos,Nivel 2
europa,Nivel 2
libertad,Nivel 2
relaciones,Nivel 2
espacio,Nivel 2
medios,Nivel 2
ir,Nivel 2
actual,Nivel 2
población,Nivel 2
empresas,Nivel 2
estudio,Nivel 2
salud,Nivel 2
servicios,Nivel 2
haya,Nivel 2
principio,Nivel 2
siendo,Nivel 2
cultura,Nivel 2
anterior,Nivel 2
alto,Nivel 2
media,Nivel 2
mediante,Nivel 2
primeros,Nivel 2
arte,Nivel 2
paz,Nivel 2
sector,Nivel 2
imagen,Nivel 2
medida,Nivel 2
deben,Nivel 2
datos,Nivel 2
consejo,Nivel 2
personal,Nivel 2
interés,Nivel 2
julio,Nivel 2
grupos,Nivel 2
miembros,Nivel 2
ninguna,Nivel 2
existe,Nivel 2
cara,Nivel 2
edad,Nivel 2
etc,Nivel 2
movimiento,Nivel 2
visto,Nivel 2
llegó,Nivel 2
puntos,Nivel 2
actividad,Nivel 2
bueno,Nivel 2
uso,Nivel 2
niño,Nivel 2
difícil,Nivel 2
joven,Nivel 2
futuro,Nivel 2
aquellos,Nivel 2
mes,Nivel 2
pronto,Nivel 2
soy,Nivel 2
hacía,Nivel 2
nuevos,Nivel 2
nuestros,Nivel 2
estaban,Nivel 2
posibilidad,Nivel 2
sigue,Nivel 2
cerca,Nivel 2
resultados,Nivel 2
educación,Nivel 2
atención,Nivel 2
gonzález,Nivel 2
capacidad,Nivel 2
efecto,Nivel 2
necesario,Nivel 2
valor,Nivel 2
aire,Nivel 2
investigación,Nivel 2
siguiente,Nivel 2
figura,Nivel 2
central,Nivel 2
comunidad,Nivel 2
necesidad,Nivel 2
serie,Nivel 2
organización,Nivel 2
nuevas,Nivel 2
calidad,Nivel 2
economía,Nivel 3
carácter,Nivel 3
jefe,Nivel 3
estamos,Nivel 3
prensa,Nivel 3
control,Nivel 3
sociales,Nivel 3
universidad,Nivel 3
militar,Nivel 3
cabo,Nivel 3
diez,Nivel 3
fuerzas,Nivel 3
congreso,Nivel 3
ésta,Nivel 3
hijos,Nivel 3
justicia,Nivel 3
mundial,Nivel 3
dólares,Nivel 3
juego,Nivel 3
económica,Nivel 3
políticos,Nivel 3
duda,Nivel 3
recursos,Nivel 3
pública,Nivel 3
crisis,Nivel 3
próximo,Nivel 3
tenemos,Nivel 3
decisión,Nivel 3
varias,Nivel 3
popular,Nivel 3
tenido,Nivel 3
apenas,Nivel 3
época,Nivel 3
banco,Nivel 3
presente,Nivel 3
menor,Nivel 3
quiero,Nivel 3
pasar,Nivel 3
resultado,Nivel 3
televisión,Nivel 3
encuentra,Nivel 3
gracias,Nivel 3
ministerio,Nivel 3
conjunto,Nivel 3
defensa,Nivel 3
alguien,Nivel 3
queda,Nivel 3
hacen,Nivel 3
pasa,Nivel 3
resto,Nivel 3
causa,Nivel 3
seguir,Nivel 3
allá,Nivel 3
palabra,Nivel 3
voy,Nivel 3
cuya,Nivel 3
vamos,Nivel 3
mar,Nivel 3
estudios,Nivel 3
derechos,Nivel 3
importancia,Nivel 3
cuales,Nivel 3
contrario,Nivel 3
manuel,Nivel 3
garcía,Nivel 3
fuerte,Nivel 3
sol,Nivel 3
jóvenes,Nivel 3
apoyo,Nivel 3
habría,Nivel 3
civil,Nivel 3
miguel,Nivel 3
pedro,Nivel 3
partidos,Nivel 3
libre,Nivel 3
fuentes,Nivel 3
administración,Nivel 3
común,Nivel 3
dejar,Nivel 3
cine,Nivel 3
salir,Nivel 3
comunicación,Nivel 3
experiencia,Nivel 3
demasiado,Nivel 3
plan,Nivel 3
respuesta,Nivel 3
energía,Nivel 3
izquierda,Nivel 3
función,Nivel 3
principal,Nivel 3
superior,Nivel 3
naturaleza,Nivel 3
podemos,Nivel 3
unión,Nivel 3
especialmente,Nivel 3
rey,Nivel 3
domingo,Nivel 3
favor,Nivel 3
cantidad,Nivel 3
elecciones,Nivel 3
clase,Nivel 3
productos,Nivel 3
españoles,Nivel 3
conocer,Nivel 3
teatro,Nivel 3
importantes,Nivel 3
evitar,Nivel 3
color,Nivel 3
actividades,Nivel 3
mesa,Nivel 3
decía,Nivel 3
cuyo,Nivel 3
debido,Nivel 3
alta,Nivel 3
francisco,Nivel 3
secretario,Nivel 3
objeto,Nivel 3
quizá,Nivel 3
posición,Nivel 3
parecía,Nivel 3
natural,Nivel 3
elementos,Nivel 3
hubo,Nivel 3
objetivo,Nivel 3
formas,Nivel 3
única,Nivel 3
pueda,Nivel 3
origen,Nivel 3
blanco,Nivel 3
mismos,Nivel 3
lleva,Nivel 3
económico,Nivel 3
opinión,Nivel 3
ayuda,Nivel 3
oficial,Nivel 3
silencio,Nivel 3
buenos,Nivel 3
pensar,Nivel 3
república,Nivel 3
dónde,Nivel 3
sangre,Nivel 3
encuentro,Nivel 3
siquiera,Nivel 3
autor,Nivel 3
reunión,Nivel 3
haciendo,Nivel 3
suelo,Nivel 3
muestra,Nivel 3
viejo,Nivel 3
encima,Nivel 3
resulta,Nivel 3
tomar,Nivel 3
bastante,Nivel 3
siete,Nivel 3
lucha,Nivel 3
pudo,Nivel 3
amigos,Nivel 3
línea,Nivel 3
sur,Nivel 3
pocos,Nivel 3
medidas,Nivel 3
norte,Nivel 3
partes,Nivel 3
iglesia,Nivel 3
tratamiento,Nivel 3
existencia,Nivel 3
cargo,Nivel 3
grande,Nivel 3
américa,Nivel 3
boca,Nivel 3
plaza,Nivel 3
pie,Nivel 3
trabajadores,Nivel 3
poner,Nivel 3
existen,Nivel 3
viene,Nivel 3
permite,Nivel 3
análisis,Nivel 3
argentina,Nivel 3
acto,Nivel 3
hechos,Nivel 3
tiempos,Nivel 3
políticas,Nivel 3
radio,Nivel 3
puedo,Nivel 3
crecimiento,Nivel 3
francia,Nivel 3
compañía,Nivel 3
amigo,Nivel 3
autoridades,Nivel 3
realizar,Nivel 3
acciones,Nivel 3
padres,Nivel 3
diario,Nivel 3
ve,Nivel 3
derecha,Nivel 3
ambiente,Nivel 3
habrá,Nivel 3
precisamente,Nivel 3
enfermedad,Nivel 3
especie,Nivel 3
ejército,Nivel 3
santa,Nivel 3
cambios,Nivel 3
río,Nivel 3
sabía,Nivel 3
seguro,Nivel 3
espera,Nivel 3
momentos,Nivel 3
viaje,Nivel 3
quería,Nivel 3
ocho,Nivel 3
vivir,Nivel 3
región,Nivel 3
formación,Nivel 3
escuela,Nivel 3
cuarto,Nivel 3
valores,Nivel 3
quedó,Nivel 3
participación,Nivel 3
éxito,Nivel 3
baja,Nivel 3
artículo,Nivel 3
principales,Nivel 3
fernando,Nivel 3
metros,Nivel 3
marcha,Nivel 3
régimen,Nivel 3
consecuencia,Nivel 3
conocimiento,Nivel 3
corazón,Nivel 3
campaña,Nivel 3
estructura,Nivel 3
efectos,Nivel 3
finalmente,Nivel 3
modelo,Nivel 3
carta,Nivel 3
construcción,Nivel 3
médico,Nivel 3
miedo,Nivel 3
mayores,Nivel 3
entrada,Nivel 3
humanos,Nivel 3
sean,Nivel 3
actitud,Nivel 3
deja,Nivel 3
dejó,Nivel 3
llevar,Nivel 3
negro,Nivel 3
texto,Nivel 3
mitad,Nivel 3
estuvo,Nivel 3
alrededor,Nivel 3
acerca,Nivel 3
peso,Nivel 3
humano,Nivel 3
pequeño,Nivel 3
fecha,Nivel 3
serán,Nivel 3
doctor,Nivel 3
ideas,Nivel 3
vino,Nivel 3
materia,Nivel 3
llega,Nivel 3
carrera,Nivel 3
cierta,Nivel 3
sola,Nivel 3
psoe,Nivel 3
lejos,Nivel 3
juez,Nivel 3
características,Nivel 3
riesgo,Nivel 3
fácil,Nivel 3
diferencia,Nivel 3
cultural,Nivel 3
libros,Nivel 3
práctica,Nivel 3
mayo,Nivel 3
nuestras,Nivel 3
programas,Nivel 3
memoria,Nivel 3
llegado,Nivel 3
plazo,Nivel 3
expresión,Nivel 3
diciembre,Nivel 3
mantener,Nivel 3
enero,Nivel 3
volver,Nivel 3
cuadro,Nivel 3
producto,Nivel 3
produce,Nivel 3
europea,Nivel 3
conciencia,Nivel 3
tenían,Nivel 3
atrás,Nivel 3
felipe,Nivel 3
creación,Nivel 3
chile,Nivel 3
precio,Nivel 3
película,Nivel 3
puerto,Nivel 3
fuego,Nivel 3
cuestión,Nivel 3
pasó,Nivel 3
costa,Nivel 3
supuesto,Nivel 3
local,Nivel 3
habla,Nivel 3
aspectos,Nivel 3
cuba,Nivel 3
sala,Nivel 3
cámara,Nivel 3
vuelta,Nivel 3
vía,Nivel 3
mirada,Nivel 3
mejores,Nivel 3
informe,Nivel 3
unidad,Nivel 3
distintos,Nivel 3
suerte,Nivel 3
tales,Nivel 3
mira,Nivel 3
llamado,Nivel 3
técnica,Nivel 3
título,Nivel 3
principios,Nivel 3
octubre,Nivel 3
volvió,Nivel 3
período,Nivel 3
encontrar,Nivel 3
democracia,Nivel 3
aumento,Nivel 3
fútbol,Nivel 3
prueba,Nivel 3
consumo,Nivel 3
pese,Nivel 3
ocasiones,Nivel 3
exterior,Nivel 3
solución,Nivel 3
hija,Nivel 3
sueño,Nivel 3
parís,Nivel 3
capaz,Nivel 3
ocasión,Nivel 3
industria,Nivel 3
adelante,Nivel 3
salida,Nivel 3
ciencia,Nivel 3
asunto,Nivel 3
asociación,Nivel 3
puso,Nivel 3
intereses,Nivel 3
oro,Nivel 3
podrá,Nivel 3
pregunta,Nivel 3
oposición,Nivel 3
entrar,Nivel 3
señora,Nivel 3
señaló,Nivel 3
santiago,Nivel 3
dolor,Nivel 3
zonas,Nivel 3
comercio,Nivel 3
operación,Nivel 3
tribunal,Nivel 3
instituciones,Nivel 3
temas,Nivel 3
militares,Nivel 3
junio,Nivel 3
marco,Nivel 3
sectores,Nivel 3
hacerlo,Nivel 3
aspecto,Nivel 3
razones,Nivel 3
contenido,Nivel 3
juicio,Nivel 3
electoral,Nivel 3
considera,Nivel 3
tendrá,Nivel 3
mucha,Nivel 3
voluntad,Nivel 3
dicen,Nivel 3
recuerdo,Nivel 3
socialista,Nivel 3
área,Nivel 3
aparece,Nivel 3
vio,Nivel 3
cama,Nivel 3
aun,Nivel 3
presenta,Nivel 3
pp,Nivel 3
revolución,Nivel 3
busca,Nivel 3
abril,Nivel 3
rodríguez,Nivel 3
fiscal,Nivel 3
lópez,Nivel 3
victoria,Nivel 3
violencia,Nivel 3
primeras,Nivel 3
pequeña,Nivel 3
armas,Nivel 3
debía,Nivel 3
ii,Nivel 3
esfuerzo,Nivel 3
humana,Nivel 3
posibilidades,Nivel 3
centros,Nivel 3
profesional,Nivel 3
asimismo,Nivel 3
grado,Nivel 3
has,Nivel 3
toma,Nivel 3
distintas,Nivel 3
material,Nivel 3
carne,Nivel 3
llama,Nivel 3
particular,Nivel 3
jorge,Nivel 3
trabajar,Nivel 3
propuesta,Nivel 3
muerto,Nivel 3
precios,Nivel 3
reforma,Nivel 3
hermano,Nivel 3
corte,Nivel 3
comenzó,Nivel 3
etapa,Nivel 3
obstante,Nivel 3
pone,Nivel 3
diversos,Nivel 3
visita,Nivel 3
concepto,Nivel 3
pacientes,Nivel 3
semanas,Nivel 3
tipos,Nivel 3
solamente,Nivel 3
deseo,Nivel 3
sistemas,Nivel 3
encuentran,Nivel 3
siguientes,Nivel 3
martín,Nivel 3
suficiente,Nivel 3
marzo,Nivel 3
propios,Nivel 3
jamás,Nivel 3
dan,Nivel 3
club,Nivel 3
instituto,Nivel 3
constitución,Nivel 3
curso,Nivel 3
lenguaje,Nivel 3
estilo,Nivel 3
rosa,Nivel 3
imposible,Nivel 3
pablo,Nivel 3
buscar,Nivel 3
peor,Nivel 3
piel,Nivel 3
arriba,Nivel 3
generales,Nivel 3
septiembre,Nivel 3
blanca,Nivel 3
aquellas,Nivel 3
teoría,Nivel 3
animales,Nivel 3
hicieron,Nivel 3
larga,Nivel 3
perdido,Nivel 3
imágenes,Nivel 3
paciente,Nivel 3
conseguir,Nivel 3
máximo,Nivel 3
noviembre,Nivel 3
líder,Nivel 3
hospital,Nivel 3
diversas,Nivel 3
rafael,Nivel 3
vuelve,Nivel 3
destino,Nivel 3
torno,Nivel 3
proyectos,Nivel 3
flores,Nivel 3
niveles,Nivel 3
afirmó,Nivel 3
explicó,Nivel 3
somos,Nivel 3
términos,Nivel 3
premio,Nivel 3
tercera,Nivel 3
simple,Nivel 3
trabajos,Nivel 3
factores,Nivel 3
fuente,Nivel 3
cielo,Nivel 3
ambas,Nivel 3
mismas,Nivel 3
fernández,Nivel 3
actualmente,Nivel 3
conocido,Nivel 3
condición,Nivel 3
ejercicio,Nivel 3
cree,Nivel 3
par,Nivel 3
ocurre,Nivel 3
ti,Nivel 3
espíritu,Nivel 3
lengua,Nivel 3
responsabilidad,Nivel 3
digo,Nivel 3
pérez,Nivel 3
distancia,Nivel 3
organismo,Nivel 3
cruz,Nivel 3
evolución,Nivel 3
realmente,Nivel 3
alberto,Nivel 3
francés,Nivel 3
novela,Nivel 3
alma,Nivel 3
doble,Nivel 3
anteriores,Nivel 3
obtener,Nivel 3
dije,Nivel 3
selección,Nivel 3
podido,Nivel 3
nación,Nivel 3
ido,Nivel 3
crear,Nivel 3
motivo,Nivel 3
tercer,Nivel 3
detrás,Nivel 3
significa,Nivel 3
empleo,Nivel 3
escrito,Nivel 3
departamento,Nivel 3
contacto,Nivel 3
casas,Nivel 3
red,Nivel 3
rostro,Nivel 3
oportunidad,Nivel 3
procesos,Nivel 3
terreno,Nivel 3
daba,Nivel 3
calles,Nivel 3
lista,Nivel 3
nacionales,Nivel 3
funciones,Nivel 3
leyes,Nivel 3
acceso,Nivel 3
técnico,Nivel 3
visión,Nivel 3
preguntó,Nivel 3
jesús,Nivel 3
grave,Nivel 3
tenga,Nivel 3
lunes,Nivel 3
aplicación,Nivel 3
junta,Nivel 3
lugares,Nivel 3
verano,Nivel 3
capítulo,Nivel 3
éstos,Nivel 3
pensamiento,Nivel 3
york,Nivel 3
frecuencia,Nivel 3
gestión,Nivel 3
viernes,Nivel 3
javier,Nivel 3
sitio,Nivel 3
agosto,Nivel 3
propiedad,Nivel 3
profesionales,Nivel 3
últimas,Nivel 3
gusta,Nivel 3
objetivos,Nivel 3
movimientos,Nivel 3
alcalde,Nivel 3
ejecutivo,Nivel 3
ciudadanos,Nivel 3
necesidades,Nivel 3
exposición,Nivel 3
término,Nivel 3
veinte,Nivel 3
cuál,Nivel 3
clara,Nivel 3
altura,Nivel 3
pequeños,Nivel 3
presión,Nivel 3
moral,Nivel 3
lograr,Nivel 3
comité,Nivel 3
teléfono,Nivel 3
asuntos,Nivel 3
peligro,Nivel 3
escena,Nivel 3
gusto,Nivel 3
palacio,Nivel 3
hotel,Nivel 3
colombia,Nivel 3
aseguró,Nivel 3
isla,Nivel 3
guardia,Nivel 3
confianza,Nivel 3
ciudades,Nivel 3
esperar,Nivel 3
café,Nivel 3
demanda,Nivel 3
personajes,Nivel 3
directamente,Nivel 3
salió,Nivel 3
discurso,Nivel 3
sánchez,Nivel 3
representantes,Nivel 3
normal,Nivel 3
pena,Nivel 3
jugadores,Nivel 3
supone,Nivel 3
industrial,Nivel 3
referencia,Nivel 3
febrero,Nivel 3
entender,Nivel 3
esté,Nivel 3
física,Nivel 3
dejado,Nivel 3
alimentos,Nivel 3
pies,Nivel 3
doña,Nivel 3
protección,Nivel 3
autores,Nivel 3
marido,Nivel 3
podrían,Nivel 3
llamada,Nivel 3
brazos,Nivel 3
intervención,Nivel 3
sal,Nivel 3
páginas,Nivel 3
nueve,Nivel 3
pueblos,Nivel 3
temporada,Nivel 3
tus,Nivel 3
abajo,Nivel 3
aquello,Nivel 3
maestro,Nivel 3
internacionales,Nivel 3
técnicas,Nivel 3
estás,Nivel 3
esposa,Nivel 3
crítica,Nivel 3
totalmente,Nivel 3
perder,Nivel 3
venta,Nivel 3
finales,Nivel 3
ramón,Nivel 3
contar,Nivel 3
diferencias,Nivel 3
familiar,Nivel 3
martínez,Nivel 3
kilómetros,Nivel 3
mala,Nivel 3
fundamental,Nivel 3
enorme,Nivel 3
puedan,Nivel 3
líneas,Nivel 3
ofrece,Nivel 3
comercial,Nivel 3
pan,Nivel 3
aires,Nivel 3
profesor,Nivel 3
inversión,Nivel 3
municipal,Nivel 3
declaraciones,Nivel 3
funcionarios,Nivel 3
aguas,Nivel 3
responsable,Nivel 3
sábado,Nivel 3
alguno,Nivel 3
federal,Nivel 3
señala,Nivel 3
conflicto,Nivel 3
dicha,Nivel 3
efe,Nivel 3
dirigentes,Nivel 3
cambiar,Nivel 3
superficie,Nivel 3
necesita,Nivel 3
estudiantes,Nivel 3
tantos,Nivel 3
golpe,Nivel 3
públicos,Nivel 3
públicas,Nivel 3
equipos,Nivel 3
literatura,Nivel 3
pruebas,Nivel 3
alemania,Nivel 3
circunstancias,Nivel 3
tienes,Nivel 3
documento,Nivel 3
fiesta,Nivel 3
simplemente,Nivel 3
enrique,Nivel 3
aceite,Nivel 3
establecer,Nivel 3
médicos,Nivel 3
eres,Nivel 3
locales,Nivel 3
empezó,Nivel 3
pobre,Nivel 3
debería,Nivel 3
llevó,Nivel 3
parlamento,Nivel 3
territorio,Nivel 3
sale,Nivel 3
treinta,Nivel 3
coche,Nivel 3
clases,Nivel 3
afirma,Nivel 3
oficiales,Nivel 3
diálogo,Nivel 3
vi,Nivel 3
respeto,Nivel 3
tratado,Nivel 3
llevaba,Nivel 3
revista,Nivel 3
copa,Nivel 3
pintura,Nivel 3
nombres,Nivel 3
propósito,Nivel 3
leche,Nivel 3
actualidad,Nivel 3
constituye,Nivel 3
tarea,Nivel 3
alcanzar,Nivel 3
competencia,Nivel 3
normas,Nivel 3
plata,Nivel 3
vecinos,Nivel 3
fenómeno,Nivel 3
intención,Nivel 3
dando,Nivel 3
diputados,Nivel 3
judicial,Nivel 3
cualquiera,Nivel 3
fe,Nivel 3
jornada,Nivel 3
italia,Nivel 3
ganar,Nivel 3
candidato,Nivel 3
calor,Nivel 3
esperanza,Nivel 3
recién,Nivel 3
suele,Nivel 3
miles,Nivel 3
ritmo,Nivel 3
vive,Nivel 3
quizás,Nivel 3
pasos,Nivel 3
sensación,Nivel 3
representación,Nivel 3
presidencia,Nivel 3
triunfo,Nivel 3
ayuntamiento,Nivel 3
plantas,Nivel 3
niña,Nivel 3
frío,Nivel 3
tono,Nivel 3
compañeros,Nivel 3
quieren,Nivel 3
pesos,Nivel 3
delante,Nivel 3
propias,Nivel 3
plano,Nivel 3
enfermedades,Nivel 3
institución,Nivel 3
edificio,Nivel 3
nota,Nivel 3
franco,Nivel 3
jugar,Nivel 3
the,Nivel 3
representa,Nivel 3
gesto,Nivel 3
mensaje,Nivel 3
vasco,Nivel 3
pudiera,Nivel 3
gómez,Nivel 3
influencia,Nivel 3
pocas,Nivel 3
realizado,Nivel 3
conducta,Nivel 3
objetos,Nivel 3
tamaño,Nivel 3
provincia,Nivel 3
europeo,Nivel 3
verde,Nivel 3
informó,Nivel 3
escribir,Nivel 3
materiales,Nivel 3
eduardo,Nivel 3
cumplir,Nivel 3
pidió,Nivel 3
alumnos,Nivel 3
ámbito,Nivel 3
muertos,Nivel 3
explica,Nivel 3
consecuencias,Nivel 3
refiere,Nivel 3
comer,Nivel 3
fines,Nivel 3
versión,Nivel 3
abierto,Nivel 3
debate,Nivel 3
barrio,Nivel 3
labor,Nivel 3
fondos,Nivel 3
justo,Nivel 3
tradición,Nivel 3
